,lr_history,train_loss_history,train_loss1_history,train_loss2_history,train_epoch_loss_history,rmse_train_history,val_loss_history,val_loss1_history,val_loss2_history,val_epoch_loss_history,rmse_val_history
4094,1.7910124676214204e-05,0.010786958,0.0021279007,0.008659057,,,0.0063104164,0.0008436125,0.005466804,,
4095,1.7893890981142455e-05,0.015573832,0.0015313824,0.01404245,,,0.0028928546,0.0014202774,0.0014725771,,
4096,1.7877653764779856e-05,0.0070289047,0.0006511851,0.00637772,,,0.0066629476,0.00069687515,0.0059660724,,
4097,1.786141304688388e-05,0.005792984,0.004635254,0.00115773,,,0.0013315617,0.0007544965,0.00057706516,,
4098,1.784516884721626e-05,0.0056011076,0.003260097,0.0023410106,,,0.011849634,0.0007127521,0.011136882,,
4099,1.782892118554296e-05,0.007397442,0.0006308611,0.006766581,,,0.0057521495,0.0006144702,0.005137679,,
4100,1.781267008163415e-05,0.011667178,0.001019696,0.010647482,,,0.00252691,0.000877684,0.0016492262,,
4101,1.779641555526421e-05,0.007143461,0.004325365,0.002818096,,,0.01197129,0.00257197,0.00939932,,
4102,1.778015762621167e-05,0.012553943,0.004169686,0.008384257,,,0.0061133257,0.00059469667,0.005518629,,
4103,1.776389631425919e-05,0.0020770293,0.00035282923,0.0017242001,,,0.0029144206,0.00056796084,0.0023464598,,
4104,1.7747631639193577e-05,0.016638665,0.0011603552,0.01547831,,,0.001394968,0.0005245162,0.00087045186,,
4105,1.7731363620805697e-05,0.0041195992,0.0030567616,0.0010628379,,,0.0046694153,0.0012202053,0.00344921,,
4106,1.7715092278890508e-05,0.069509976,0.0038547774,0.0656552,,,0.0052864607,0.0015167994,0.0037696613,,
4107,1.7698817633246995e-05,0.005527435,0.0014715263,0.0040559084,,,0.0013152033,0.00042022386,0.00089497946,,
4108,1.768253970367818e-05,0.0062322575,0.0011188741,0.0051133833,,,0.0015606408,0.0013668721,0.00019376865,,
4109,1.7666258509991062e-05,0.0025738408,0.00036092405,0.0022129167,,,0.003359678,0.00066570286,0.002693975,,
4110,1.7649974071996633e-05,0.0012751658,0.0009056925,0.0003694733,,,0.013290561,0.00058874435,0.012701817,,
4111,1.763368640950981e-05,0.0019893283,0.00093318446,0.0010561438,,,0.004009987,0.0007501256,0.0032598614,,
4112,1.761739554234945e-05,0.005511304,0.0015291016,0.003982202,,,0.0069160643,0.0012197575,0.005696307,,
4113,1.7601101490338313e-05,0.0038758502,0.0014268201,0.0024490303,,,0.0028720528,0.00090155937,0.0019704935,,
4114,1.7584804273303013e-05,0.0050499537,0.0016762754,0.0033736783,,,0.004531401,0.00038300117,0.0041484,,
4115,1.7568503911074026e-05,0.012145547,0.0015143299,0.010631218,,,0.002914155,0.0010355634,0.0018785914,,
4116,1.755220042348567e-05,0.012460183,0.0006445644,0.011815619,,,0.007599689,0.0014755789,0.00612411,,
4117,1.7535893830376044e-05,0.00093646883,0.0004538651,0.00048260373,,,0.006288727,0.0010465826,0.005242144,,
4118,1.7519584151587036e-05,0.00063741836,0.00040641474,0.0002310036,,,0.004844307,0.00084442174,0.003999885,,
