,lr_history,train_total_loss_history,train_epoch_loss_history,rmse_train_history,val_total_loss_history,val_epoch_loss_history,rmse_val_history
373,1.7509363295880153e-05,0.019814745,,,0.19485968,,
374,1.75561797752809e-05,0.09860536,,,0.12347996,,
375,1.760299625468165e-05,0.017092992,,,0.072052136,,
376,1.7649812734082396e-05,0.024629217,,,0.014526871,,
377,1.7696629213483147e-05,0.022221621,,,0.1646883,,
378,1.7743445692883895e-05,0.008977529,,,0.036205444,,
379,1.7790262172284646e-05,0.02023216,,,0.13062859,,
380,1.7837078651685393e-05,0.09126054,,,0.016344719,,
381,1.788389513108614e-05,0.035923015,,,0.012649592,,
382,1.7930711610486892e-05,0.042902727,,,0.00058404123,,
383,1.797752808988764e-05,0.03518514,,,0.18701763,,
384,1.802434456928839e-05,0.0198356,,,0.009507141,,
385,1.807116104868914e-05,0.07578067,,,0.09077819,,
386,1.811797752808989e-05,0.04895996,,,0.12782298,,
387,1.8164794007490637e-05,0.2615238,,,0.112678625,,
388,1.8211610486891388e-05,0.0781607,,,0.03316645,,
389,1.8258426966292136e-05,0.045846157,,,0.0549605,,
390,1.8305243445692884e-05,0.016906634,,,0.09275724,,
391,1.8352059925093635e-05,0.09940862,,,0.008089038,,
